timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1533548267312361,4,2,5,2,44,0,75,5
1533548267312361,0,-7,3,-1,-14,2,-3,-3
1533548267313344,-2,-1,0,-2,-24,-15,8,6
1533548267313344,5,14,5,-34,39,5,10,1
1533548267325299,-6,-30,-9,22,22,-1,-19,-8
1533548267325299,-4,2,13,46,-7,9,16,-1
1533548267334329,-3,-5,-10,-47,70,-1,10,5
1533548267334329,-5,-7,-11,-3,-38,-12,-17,-3
1533548267349359,6,12,14,-8,-53,2,-10,-1
1533548267349359,2,1,-8,45,95,2,5,0
1533548267350360,-2,-7,2,-8,-61,4,-13,-4
1533548267350360,5,10,-2,19,9,1,8,4
1533548267372359,2,9,3,-28,2,3,-20,-2
1533548267372359,5,-3,-1,5,-10,0,5,2
1533548267373360,-3,1,-2,-18,-20,6,-5,-3
1533548267373360,-5,-9,-2,30,18,-2,3,-5
1533548267385299,-1,7,6,4,4,6,-7,0
1533548267385299,0,-3,-14,-24,-7,-8,59,13
1533548267395359,3,12,7,-1,-60,10,-22,-8
1533548267395359,-5,-6,-5,28,100,-21,-7,0
1533548267409343,-5,-14,-6,-11,19,7,17,4
1533548267409343,6,8,-2,-43,-30,-1,-12,-15
1533548267410360,-2,-6,0,-4,41,8,14,-1
1533548267410360,0,5,1,-17,-63,-3,7,-1
1533548267432359,-5,8,4,109,39,-6,-18,-2
1533548267432359,-2,7,-11,-68,-49,4,-20,0
1533548267433344,7,12,0,53,34,-1,10,12
1533548267433344,1,5,-8,-88,-57,8,-20,-6
1533548267445299,-1,-1,5,32,37,-2,3,7
1533548267445299,-4,-2,6,0,-37,-3,-12,0
1533548267454361,-3,-1,7,15,16,5,2,-5
1533548267454361,-2,-2,-7,-13,-93,-12,-38,-2
1533548267469331,1,-7,-10,-45,7,-1,80,8
1533548267469331,0,-1,7,23,0,2,-42,-13
1533548267470358,-6,-7,-3,-17,-12,8,-12,-5
1533548267470358,-1,0,12,51,23,-5,4,1
1533548267492359,-6,0,-7,-35,3,1,-20,-2
1533548267492359,2,-2,0,13,11,3,-5,0
1533548267493358,6,12,8,14,-22,-15,-1,12
1533548267493358,-1,-12,-17,-24,36,6,9,-13
1533548267505298,-3,-5,9,13,-44,-1,-8,-2
1533548267505298,-2,12,0,10,55,-4,-1,4
1533548267514357,-5,-5,-9,1,-48,-5,-32,-7
1533548267514357,0,-3,-4,34,37,-1,20,7
1533548267529296,7,12,5,-35,-126,-11,-18,-4
1533548267529296,0,-1,4,38,53,3,-1,-2
1533548267530358,-7,-29,-18,-53,-16,-10,4,0
1533548267530358,-1,3,2,-9,-18,1,31,2
1533548267552330,0,-8,-4,0,29,-3,11,11
1533548267552330,1,15,14,61,-13,-9,-24,-7
1533548267553315,0,0,-2,-46,-61,-3,5,-4
1533548267553315,2,12,-6,-23,39,4,-9,2
1533548267565296,-9,-39,-8,12,30,0,-18,-4
1533548267565296,-5,-13,1,-3,7,6,14,2
1533548267574325,-2,-2,6,27,-3,-1,-8,-5
1533548267574325,-1,3,5,10,-24,7,1,1
1533548267589314,5,18,7,3,85,3,-20,-5
1533548267589314,-3,-9,-14,-53,-41,-10,-1,13
1533548267590357,-3,1,1,5,19,-3,8,-11
1533548267590357,-5,-9,2,11,-23,-5,-12,4
1533548267612324,6,17,4,34,35,-8,-22,-4
1533548267612324,3,-5,4,33,-22,4,21,4
1533548267613356,6,11,-9,-27,49,7,-41,2
1533548267613356,-1,-25,-8,-28,-21,10,88,11
1533548267634295,-2,2,-7,-4,-25,-3,-17,-4
1533548267634295,-1,1,11,38,9,-2,-19,-8
1533548267635326,7,8,4,25,-8,-10,7,0
1533548267635326,-9,-6,-5,-10,16,-4,-23,2
1533548267649342,3,3,1,-59,-64,14,-8,-4
1533548267649342,1,-1,-3,24,53,13,17,3
1533548267650356,1,7,10,11,-16,11,11,0
1533548267650356,0,7,5,1,-11,15,-16,-4
1533548267672356,-3,1,-7,1,11,-5,13,1
1533548267672356,-1,1,-20,-115,-50,-3,-17,-6
1533548267673344,-2,-5,4,4,16,0,5,2
1533548267673344,0,0,-10,-48,-25,-1,-17,-2
1533548267694294,0,2,6,14,-12,1,-19,1
